,name,distance,mass,discovery_date,planet_type,planet_radius_in_unit,mass_of_hoststar.1,goldilock,gravity
0,11 Comae Berenices b,305.0,19.4 Jupiters,2007,Gas Giant,,19.0,True,
1,11 Ursae Minoris b,410.0,14.74 Jupiters,2009,Gas Giant,,29.79,True,
2,14 Andromedae b,247.0,4.8 Jupiters,2008,Gas Giant,,11.0,True,
3,14 Herculis b,59.0,4.66 Jupiters,2002,Gas Giant,,0.93,False,
4,16 Cygni B b,69.0,1.78 Jupiters,1996,Gas Giant,,1.13,True,
5,18 Delphini b,249.0,10.3 Jupiters,2008,Gas Giant,,8.5,False,
6,1RXS J160929.1-210524 b,473.0,8 Jupiters,2008,Gas Giant,,,False,
7,24 Bootis b,314.0,0.91 Jupiters,2018,Gas Giant,,10.64,False,
8,24 Sextantis b,236.0,1.99 Jupiters,2010,Gas Giant,,4.9,True,
9,24 Sextantis c,236.0,0.86 Jupiters,2010,Gas Giant,,4.9,False,
10,2MASS J01033563-5515561 AB b,154.0,13 Jupiters,2013,Gas Giant,,,False,
11,2MASS J01225093-2439505 b,117.0,24.5 Jupiters,2013,Gas Giant,,,False,
12,2MASS J02192210-3925225 b,129.0,13.9 Jupiters,2015,Gas Giant,1.44,0.28,False,2130.4484953703704
13,2MASS J04414489+2301513 b,457.0,7.5 Jupiters,2010,Gas Giant,,,False,
14,2MASS J12073346-3932539 b,210.0,4 Jupiters,2004,Gas Giant,,,False,
15,2MASS J19383260+4603591 b,1307.0,1.9 Jupiters,2015,Gas Giant,,,True,
16,2MASS J21402931+1625183 A b,82.0,20.95 Jupiters,2009,Gas Giant,0.92,0.12,False,7866.64579395085
17,2MASS J22362452+4751425 b,241.0,12.5 Jupiters,2016,Gas Giant,,,False,
18,30 Arietis B b,146.0,13.82 Jupiters,2009,Gas Giant,,1.41,True,
19,42 Draconis b,296.0,3.88 Jupiters,2008,Gas Giant,,18.11,True,
20,47 Ursae Majoris b,45.0,2.53 Jupiters,1996,Gas Giant,,22.03,False,
21,47 Ursae Majoris c,45.0,0.54 Jupiters,2001,Gas Giant,,1.23,False,
22,47 Ursae Majoris d,45.0,1.64 Jupiters,2009,Gas Giant,,1.23,False,
23,4 Ursae Majoris b,240.0,7.1 Jupiters,2006,Gas Giant,,1.23,True,
24,51 Eridani b,96.0,2 Jupiters,2015,Gas Giant,,,False,
25,51 Pegasi b,50.0,0.46 Jupiters,1995,Gas Giant,,1.2,False,
26,55 Cancri b,41.0,0.8306 Jupiters,1996,Gas Giant,,0.94,False,
27,55 Cancri c,41.0,0.1714 Jupiters,2004,Gas Giant,,0.94,False,
28,55 Cancri d,41.0,3.878 Jupiters,2002,Gas Giant,,0.94,False,
29,55 Cancri e,41.0,8.08 Earths,2004,Super Earth,0.17,0.94,False,279.58477508650515
30,55 Cancri f,41.0,0.141 Jupiters,2007,Gas Giant,,0.94,True,
31,61 Virginis b,28.0,5.1 Earths,2009,Neptune-like,,5.2,False,
32,61 Virginis c,28.0,18.2 Earths,2009,Neptune-like,,0.96,False,
33,61 Virginis d,28.0,22.9 Earths,2009,Neptune-like,,0.96,True,
34,6 Lyncis b,179.0,2.01 Jupiters,2008,Gas Giant,,0.96,False,
35,70 Virginis b,58.0,7.49 Jupiters,1996,Gas Giant,,4.87,True,
36,75 Ceti b,271.0,3 Jupiters,2012,Gas Giant,,4.87,False,
37,7 Canis Majoris b,65.0,1.85 Jupiters,2011,Gas Giant,,1.89,True,
38,7 Canis Majoris c,65.0,0.87 Jupiters,2019,Gas Giant,,10.5,False,
