,name,distance,mass,luminocity,discovery_date,planet_type,orbital_radius,planet_hoststar_name,planet_letter,planet_name,planet_discovery_method,planet_existance_in_question,num_of_planets_in_system,planet_orbital_period,planet_orbital_period_error1,planet_orbital_period_error2,planet_minimum_orbital_period,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,planet_maximum_limit_orbtial_period,planet_eccentricity,planet_eccentricity_error1,planet_eccentricity_error2,planet_eccentricity_limit,planet_orbital_inclination,planet_orbital_inclination_error1,planet_orbital_inclination_error2,planet_min_orbital_inclination,mass_in_kg,mass_in_unit_error1,mass_in_unit_error2,minimum_mass_in_unit,mass_unit,planet_radius_in_unit,planet_radius_in_unit_error1,planet_radius_in_unit_error2,minimum_planet_radius_in_unit,planet_density,planet_density_error1,planet_density_error2,minimum_planet_density,planet_orbital_inclination_compared_to_others,kepler_telescope_data,k2_telescope_data,num_of_notes,right_ascension_east_n_west_base60,right_ascension_east_n_west_base10,right_ascension_north_n_south_base60,right_ascension_north_n_south_base10,steller_distance,steller_distance_error1,steller_distance_error2,minimum_steller_distance,dist_from_gaia_paralax,dist_from_gaia_paralax_error1,dist_from_gaia_paralax_error2,minimum_dist_from_gaia_paralax,steller_magnitude,steller_magnitude_error,minimum_steller_magnitude,steller_optical_magnitude_band,photometric_visibility,photometric_visibility_error,photometric_visibility_magnitude,temperature_of_hoststar,temperature_of_hoststar_error1,temperature_of_hoststar_error2,minimum_temperature_of_hoststar,mass_of_hoststar,mass_of_hoststar_error1,mass_of_hoststar_error2,minimum_mass_of_hoststar,mass_of_hoststar.1,radius_of_hoststar_error1,radius_of_hoststar_error2,minimum_radius_of_hoststar,date_of_last_update,observer,gravity,suitable_type,goldilock,suitable_speed
0,11 Comae Berenices b,305.0,61658.70572 Earths,4.74,2007,Gas Giant,1.29 AU,11 Com,b,11 com b,Radial Velocity,0,1,326.03,0.32,-0.32,0.0,1.29,0.05,-0.05,0.0,0.231,0.005,-0.005,0.0,,,,,19.4,1.5,-1.5,0.0,Msini,,,,,,,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,1.92,-1.92,0.0,93.37,1.92,-1.92,0.0,4.74,,0.0,V (Johnson),4.372,,0.0,4742.0,100.0,-100.0,0.0,2.7,0.3,-0.3,0.0,19.0,2.0,-2.0,0.0,2014-05-14,Xinglong Station,-1.0,False,True,False
1,11 Ursae Minoris b,410.0,468479.03212 Earths,5.016,2009,Gas Giant,1.53 AU,11 UMi,b,11 umi b,Radial Velocity,0,1,516.21997,3.2,-3.2,0.0,1.53,0.07,-0.07,0.0,0.08,0.03,-0.03,0.0,,,,,14.74,2.5,-2.5,0.0,Msini,,,,,,,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,1.97,-1.97,0.0,125.72,1.97,-1.97,0.0,5.016,0.009,0.0,V (Johnson),4.5,,0.0,4213.0,46.0,-46.0,0.0,2.78,0.69,-0.69,0.0,29.79,2.84,-2.84,0.0,2018-09-06,Thueringer Landessternwarte Tautenburg,-1.0,False,True,False
2,14 Andromedae b,247.0,15255.76224 Earths,5.227,2008,Gas Giant,0.83 AU,14 And,b,14 and b,Radial Velocity,0,1,185.84,0.23,-0.23,0.0,0.83,,,0.0,0.0,,,0.0,,,,,4.8,,,0.0,Msini,,,,,,,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,0.71,-0.71,0.0,75.59,0.71,-0.71,0.0,5.227,0.009,0.0,V (Johnson),4.872,,0.0,4813.0,20.0,-20.0,0.0,2.2,0.1,-0.2,0.0,11.0,1.0,-1.0,0.0,2014-05-14,Okayama Astrophysical Observatory,-1.0,False,True,False
3,14 Herculis b,59.0,148108.02508 Earths,6.61,2002,Gas Giant,2.93 AU,14 Her,b,14 her b,Radial Velocity,0,1,1773.40002,2.5,-2.5,0.0,2.93,0.08,-0.08,0.0,0.37,0.0,0.0,0.0,,,,,4.66,0.15,-0.15,0.0,Msini,,,,,,,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,0.01,-0.01,0.0,17.94,0.01,-0.01,0.0,6.61,0.02,0.0,V (Johnson),6.379,,0.0,5338.0,25.0,-25.0,0.0,0.9,0.04,-0.04,0.0,0.93,0.01,-0.01,0.0,2018-09-06,W. M. Keck Observatory,-1.0,False,False,False
4,16 Cygni B b,69.0,56573.45164 Earths,6.25,1996,Gas Giant,1.66 AU,16 Cyg B,b,16 cyg b b,Radial Velocity,0,1,798.5,1.0,-1.0,0.0,1.66,0.03,-0.03,0.0,0.68,0.02,-0.02,0.0,,,,,1.78,0.08,-0.08,0.0,Msini,,,,,,,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,0.01,-0.01,0.0,21.15,0.01,-0.01,0.0,6.25,,0.0,V (Johnson),6.057,,0.0,5750.0,8.0,-8.0,0.0,1.08,0.04,-0.04,0.0,1.13,0.01,-0.01,0.0,2018-09-06,Multiple Observatories,-1.0,False,True,False
5,18 Delphini b,249.0,32736.323139999997 Earths,5.506,2008,Gas Giant,2.6 AU,18 Del,b,18 del b,Radial Velocity,0,1,993.3,3.2,-3.2,0.0,2.6,,,0.0,0.08,0.01,-0.01,0.0,,,,,10.3,,,0.0,Msini,,,,,,,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,0.62,-0.62,0.0,76.38,0.62,-0.62,0.0,5.506,0.009,0.0,V (Johnson),5.244,,0.0,4979.0,18.0,-18.0,0.0,2.3,,,0.0,8.5,,,0.0,2014-05-14,Okayama Astrophysical Observatory,-1.0,False,False,False
6,1RXS J160929.1-210524 b,473.0,2542.62704 Earths,12.057,2008,Gas Giant,330.0 AU,1RXS J160929.1-210524,b,1rxs j160929.1-210524 b,Imaging,0,1,,,,,330.0,,,0.0,,,,,,,,,8.0,1.0,-1.0,0.0,Mass,,,,,,,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.0,14.0,-14.0,0.0,139.67,1.32,-1.32,0.0,,,,,12.057,,0.0,4060.0,300.0,-200.0,0.0,0.85,0.2,-0.1,0.0,,,,,2015-04-01,Gemini Observatory,-1.0,False,False,False
7,24 Bootis b,314.0,28922.382579999998 Earths,5.58,2018,Gas Giant,0.19 AU,24 Boo,b,24 boo b,Radial Velocity,0,1,30.3506,0.0078,-0.0077,0.0,0.19,0.012,-0.009,0.0,0.042,0.048,-0.029,0.0,,,,,0.91,0.13,-0.1,0.0,Msini,,,,,,,,,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,0.64,-0.64,0.0,96.25,0.64,-0.64,0.0,5.58,,0.0,V (Johnson),5.305,,0.0,4893.0,15.0,-15.0,0.0,0.99,0.19,-0.13,0.0,10.64,0.84,-0.59,0.0,2018-04-26,Okayama Astrophysical Observatory,-1.0,False,False,False
8,24 Sextantis b,236.0,63247.84761999999 Earths,6.441,2010,Gas Giant,1.333 AU,24 Sex,b,24 sex b,Radial Velocity,0,2,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,0.09,0.14,-0.06,0.0,,,,,1.99,0.26,-0.38,0.0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0.0,72.21,0.68,-0.68,0.0,6.441,0.01,0.0,V (Johnson),6.198,,0.0,5098.0,44.0,-44.0,0.0,1.54,0.08,-0.08,0.0,4.9,0.08,-0.08,0.0,2014-05-14,Lick Observatory,-1.0,False,True,False
9,24 Sextantis c,236.0,27333.24068 Earths,6.441,2010,Gas Giant,2.08 AU,24 Sex,c,24 sex c,Radial Velocity,0,2,883.0,32.4,-13.8,0.0,2.08,0.05,-0.02,0.0,0.29,0.16,-0.09,0.0,,,,,0.86,0.35,-0.22,0.0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0.0,72.21,0.68,-0.68,0.0,6.441,0.01,0.0,V (Johnson),6.198,,0.0,5098.0,44.0,-44.0,0.0,1.54,0.08,-0.08,0.0,4.9,0.08,-0.08,0.0,2014-05-14,Lick Observatory,-1.0,False,False,False
